lat,lng
28.1931,-105.4717
27.7306,30.8425
39.7225,43.0544
40.65,35.8333
21.8478,106.7578
40.9667,-5.6639
41.3833,33.7833
29.8742,52.8025
-1.69,29.22
35.4281,133.3311
-12.5447,27.8708
38.2592,-122.0324
35.9333,0.0903
22.83,88.63
30.7194,76.7181
45.8,24.15
41.7483,-88.1657
-33.0498,-71.4415
21.1516,-100.9369
55.1,61.6167
1.6142,-75.6117
38.2705,-104.6112
13.9833,108
40.2111,-8.4291
30.77,20.22
32.3184,-95.3062
21.8481,-78.7631
46.0708,18.2331
33.5492,68.4233
53.8142,-3.0503
24.5804,88.35
47.8666,88.1166
15.4,-87.8
33.8346,-118.3417
-12.9667,40.5167
-22.2958,-48.5578
29.9977,-90.178
33.1,6.0667
20.95,-97.4
38.625,34.7122
31.6111,-2.23
46.8,-71.1833
16.5333,81.5333
30.4167,31.5667
51.588,-0.072
43.5263,5.4454
37.325,42.1958
51.988,5.923
-1.6928,29.25
